date,adjVolume_SandP,adjClose_SandP,adjClose_aapl,adjVolume_aapl,adjClose_fb,adjVolume_fb,adjClose_goog,adjVolume_goog,adjClose_msft,adjVolume_msft
2019-10-10,3217250000.0,2938.1298828125,56.958649172,115851936.0,180.03,8980978,1208.67,932531,137.5377578502,18396605
2019-10-11,3580460000.0,2970.27001953125,58.473651705500004,167960840.0,184.19,14998754,1215.45,1277144,138.1112438283,25551065
2019-10-14,2557020000.0,2966.14990234375,58.3894848981,97653936.0,183.28,7203665,1217.14,882039,137.9827038677,13591639
2019-10-15,3340740000.0,2995.679931640625,58.253332709700004,92161932.0,188.89,15143119,1243.01,1395259,139.9800171018,19917762
2019-10-16,3222570000.0,2989.68994140625,58.018160747799996,77146776.0,189.55,10560343,1243.64,1168174,138.83304514559998,20841687
2019-10-17,3115960000.0,2997.949951171875,58.2434307323,69091588.0,190.39,9761548,1253.07,980510,138.1211315176,22102797
2019-10-18,3264290000.0,2986.199951171875,58.52316159229999,96992092.0,185.85,16584992,1245.49,1321924,135.8667383623,30650850
2019-10-21,3271620000.0,3006.719970703125,59.5381142699,87246268.0,189.76,8122598,1246.15,1026750,136.8752826686,20078066
2019-10-22,3523890000.0,2995.989990234375,59.401962081499995,90736004.0,182.34,19854192,1242.8,1047851,134.8384186775,27935270
2019-10-23,3392870000.0,3004.52001953125,60.1990712576,79730180.0,186.15,12370819,1259.13,928595,135.6986476446,31380309
2019-10-24,3692600000.0,3010.2900390625,60.298091031000006,71665020.0,186.38,11505406,1260.99,1039868,138.3683237495,37278399
2019-10-25,3370370000.0,3022.550048828125,61.0407393317,73477184.0,187.89,8061240,1265.13,1213051,139.1494512025,25959724
2019-10-28,,3039.419921875,61.652186432700006,94621472.0,189.4,13377192,1290.0,2524976,142.5705916925,34912902
2019-10-29,3589930000.0,3036.889892578125,60.226301695299995,142839468.0,189.31,13574874,1262.62,1886380,141.22586595069998,20589469
2019-10-30,3776030000.0,3046.77001953125,60.2188752123,124522088.0,188.25,28734559,1261.29,1408851,142.9858746421,18496591
2019-10-31,4139280000.0,3037.56005859375,61.58039709689999,139162080.0,191.65,42286529,1260.11,1455651,141.7598011717,24605135
2019-11-01,3930200000.0,3066.909912109375,63.328096098,151125336.0,193.62,21711829,1273.74,1670072,142.10587029639998,33128366
2019-11-04,4146850000.0,3078.27001953125,63.7439791464,103271808.0,194.72,16371292,1291.37,1500964,142.92654850649998,16911999
2019-11-05,4486130000.0,3074.6201171875,63.652385856,79897708.0,194.32,9941954,1292.03,1282711,142.837559303,18250172
2019-11-06,4458190000.0,3076.780029296875,63.6796162937,75864496.0,191.55,10973019,1291.8,1152977,142.4420517319,16575798
2019-11-07,4144640000.0,3085.179931640625,64.4123626171,94940332.0,190.42,13472998,1308.86,2029970,142.6398055174,17786715
2019-11-08,3499150000.0,3093.080078125,64.5886443789,70081980.0,190.84,10764784,1311.37,1251916,144.3207126946,16752939
2019-11-11,3035530000.0,3087.010009765625,65.1001097722,82029836.0,189.61,8637768,1299.19,1012429,144.4690280338,14370178
2019-11-12,3466010000.0,3091.840087890625,65.040521571,87388904.0,194.47,17615454,1298.8,1085859,145.4182462044,18648712
2019-11-13,3509280000.0,3094.0400390625,65.6637148415,103270372.0,193.19,11009800,1298.0,853861,145.6555507471,17444230
